"vrq","attain","pid","sex","sc","sid","fed","choice","med","cons","pupil"
105,10,37,"Female",20,1,0,1,0,1,13
106,10,37,"Male",31,1,0,1,0,1,17
105,10,37,"Male",31,1,0,1,0,1,14
108,6,37,"Male",0,1,1,1,0,1,9
100,7,37,"Male",31,1,0,1,0,1,26
103,9,37,"Male",0,1,0,2,1,1,25
128,10,37,"Male",20,1,1,1,1,1,27
112,7,37,"Male",0,1,1,1,0,1,19
122,9,37,"Female",0,1,0,1,0,1,11
122,10,37,"Male",0,1,0,1,0,1,23
128,9,37,"Female",20,1,1,1,1,1,10
70,2,37,"Male",0,1,0,2,0,1,24
98,7,37,"Female",20,1,0,1,0,1,30
84,4,37,"Male",0,1,0,1,0,1,28
110,10,37,"Male",20,1,0,1,0,1,33
107,10,37,"Male",0,1,0,1,0,1,29
109,10,37,"Male",31,1,1,1,0,1,32
116,10,37,"Male",0,1,0,1,0,1,22
82,3,37,"Male",0,1,0,4,0,1,20
122,10,37,"Female",1,1,1,1,1,1,12
111,8,37,"Male",0,1,0,1,0,1,21
88,7,37,"Female",0,1,0,1,1,1,18
78,4,40,"Female",0,1,0,1,0,1,23
115,7,40,"Male",0,1,0,1,0,1,8
105,6,40,"Male",0,1,0,1,0,1,21
89,3,40,"Male",0,1,0,1,0,1,25
76,2,40,"Male",0,1,1,1,1,1,22
103,6,40,"Male",0,1,0,1,1,1,7
89,3,40,"Male",0,1,1,1,1,1,17
93,5,40,"Female",0,1,0,2,0,1,18
77,2,40,"Male",0,1,0,1,0,1,24
93,1,40,"Male",0,1,0,4,0,1,15
98,5,40,"Male",0,1,0,2,0,1,20
83,5,40,"Female",0,1,0,1,0,1,16
111,6,40,"Female",0,1,0,1,0,1,5
98,5,40,"Male",0,1,0,1,1,1,27
83,2,40,"Male",0,1,1,1,0,1,28
91,2,40,"Male",0,1,0,2,0,1,30
99,9,40,"Male",0,1,0,1,0,1,29
86,2,40,"Female",0,1,1,1,1,1,26
107,8,40,"Female",20,1,0,1,0,1,9
95,5,40,"Male",0,1,0,1,0,1,14
88,3,40,"Male",0,1,0,1,0,1,6
108,6,40,"Female",0,1,0,1,0,1,11
94,3,40,"Female",20,1,0,1,0,1,10
82,1,40,"Female",0,1,0,1,0,1,13
82,3,40,"Male",0,1,1,1,1,1,12
88,4,40,"Female",0,1,1,1,0,1,46
82,3,40,"Female",0,1,0,1,1,1,40
111,6,40,"Female",0,1,1,1,1,1,39
104,9,40,"Female",0,1,1,1,0,1,32
90,4,40,"Male",0,1,0,1,0,1,35
89,4,40,"Male",0,1,0,1,0,1,37
92,6,40,"Male",0,1,0,1,0,1,38
92,2,40,"Male",0,1,0,1,0,1,36
104,8,40,"Female",0,1,0,1,0,1,31
79,4,40,"Male",0,1,0,1,0,1,4
105,10,40,"Male",0,1,0,1,0,1,1
71,2,40,"Female",0,1,0,1,0,1,44
93,5,40,"Female",0,1,0,1,0,1,33
78,3,40,"Male",0,1,0,1,1,1,34
119,10,40,"Male",0,1,0,1,0,1,2
90,2,40,"Female",0,1,0,1,1,1,3
82,3,40,"Male",0,1,1,1,1,1,43
75,5,40,"Male",20,1,0,2,0,1,47
100,4,40,"Male",0,1,1,1,1,1,45
81,2,40,"Male",0,1,0,1,1,1,42
83,3,40,"Male",0,1,1,1,1,1,41
103,4,41,"Male",0,1,0,1,0,1,5
91,7,43,"Female",20,1,1,1,1,1,1
98,8,46,"Female",0,1,0,1,0,1,7
70,5,46,"Male",0,1,0,1,0,1,4
95,6,46,"Male",20,1,0,1,0,1,5
82,4,46,"Female",0,1,1,1,1,1,3
85,2,46,"Female",0,1,1,1,1,1,6
70,2,46,"Male",0,1,0,1,0,1,8
79,3,46,"Male",0,1,1,1,1,1,2
109,6,46,"Female",31,1,1,1,1,1,1
100,9,50,"Female",0,1,0,1,0,1,34
111,7,73,"Female",0,1,0,1,0,1,5
111,9,73,"Male",0,1,1,1,1,1,6
107,7,73,"Female",1,1,1,1,1,1,1
113,9,73,"Female",1,1,1,1,1,1,2
134,10,73,"Female",1,1,1,1,1,1,3
122,10,77,"Female",20,1,1,2,1,1,3
98,9,77,"Male",20,1,0,2,0,1,1
109,6,77,"Female",20,1,0,2,1,1,17
100,6,135,"Male",0,1,0,1,0,1,41
90,3,12,"Female",0,2,1,1,1,1,12
100,4,12,"Female",0,2,0,1,0,1,15
79,5,12,"Female",0,2,0,1,0,1,11
106,8,12,"Female",0,2,0,1,0,1,19
84,2,12,"Female",0,2,0,1,0,1,7
95,3,12,"Male",0,2,0,1,0,1,13
81,4,12,"Female",0,2,0,1,0,1,6
104,4,12,"Female",0,2,0,1,0,1,14
80,2,12,"Female",0,2,0,1,1,1,20
116,8,12,"Female",20,2,1,1,0,1,1
100,6,12,"Male",0,2,0,1,0,1,4
84,2,12,"Male",0,2,0,1,0,1,10
86,5,12,"Female",0,2,0,1,0,1,9
109,10,12,"Female",0,2,0,1,0,1,18
101,6,12,"Male",0,2,0,1,0,1,16
90,5,12,"Male",0,2,1,1,1,1,2
82,2,12,"Male",0,2,0,1,0,1,17
76,3,12,"Female",0,2,0,1,1,1,3
103,5,12,"Male",20,2,0,1,0,1,8
102,3,14,"Female",0,2,0,2,0,1,28
94,2,14,"Male",0,2,0,1,0,1,1
86,2,14,"Male",0,2,0,1,0,1,27
90,9,14,"Female",20,2,0,1,0,1,25
92,7,14,"Male",0,2,1,1,1,1,38
116,8,14,"Male",20,2,0,1,0,1,29
71,2,14,"Male",0,2,0,4,1,1,26
106,10,14,"Male",1,2,0,1,0,1,31
88,4,14,"Female",20,2,1,4,0,1,32
103,6,14,"Female",0,2,1,1,1,1,5
96,4,14,"Male",0,2,0,1,0,1,17
104,10,14,"Female",0,2,0,1,1,1,40
115,9,14,"Male",0,2,1,1,0,1,43
107,10,14,"Male",0,2,0,1,1,1,42
111,3,14,"Male",0,2,0,1,0,1,37
98,7,14,"Female",0,2,0,1,0,1,39
100,9,14,"Female",0,2,0,1,0,1,36
98,5,14,"Male",0,2,0,1,0,1,33
118,10,14,"Male",20,2,0,1,1,1,34
90,4,14,"Male",0,2,0,1,0,1,24
113,10,14,"Female",0,2,0,1,1,1,10
114,3,14,"Female",0,2,0,1,0,1,18
106,5,14,"Male",0,2,0,1,1,1,9
116,6,14,"Female",20,2,0,1,0,1,13
89,2,14,"Male",0,2,0,1,0,1,12
114,9,14,"Female",20,2,1,1,1,1,15
102,7,14,"Male",0,2,0,1,0,1,20
96,4,14,"Female",0,2,0,1,0,1,14
93,6,14,"Female",0,2,0,1,0,1,16
96,4,14,"Male",0,2,0,1,0,1,2
111,10,14,"Female",20,2,1,1,1,1,7
116,9,14,"Male",20,2,0,1,1,1,22
80,5,14,"Male",0,2,0,1,0,1,30
100,6,14,"Male",20,2,0,1,1,1,3
110,6,14,"Female",0,2,0,1,1,1,8
104,10,14,"Female",20,2,0,1,0,1,41
107,9,14,"Male",31,2,0,1,1,1,21
118,10,14,"Female",20,2,1,1,1,1,23
98,7,16,"Male",0,2,0,2,0,1,37
90,4,20,"Female",0,2,1,1,1,1,6
108,7,20,"Male",0,2,0,1,0,1,8
85,2,20,"Male",0,2,0,1,0,1,9
91,2,20,"Male",0,2,0,1,0,1,5
109,10,20,"Male",0,2,0,1,0,1,7
102,6,20,"Female",0,2,0,1,0,1,32
93,2,20,"Female",0,2,0,1,0,1,31
102,5,20,"Male",0,2,1,1,1,1,2
84,1,20,"Male",0,2,0,1,0,1,26
98,5,20,"Male",0,2,0,1,0,1,25
98,3,20,"Male",0,2,1,1,1,1,24
92,3,20,"Female",20,2,0,1,0,1,23
84,3,20,"Male",0,2,0,1,0,1,29
110,6,20,"Male",0,2,1,1,1,1,10
77,2,20,"Female",0,2,1,1,1,1,12
93,3,20,"Male",0,2,0,1,0,1,15
70,2,20,"Male",0,2,0,1,0,1,14
94,4,20,"Female",31,2,0,1,0,1,13
105,7,20,"Female",0,2,0,1,0,1,11
96,6,20,"Female",0,2,0,1,0,1,30
89,2,20,"Female",0,2,0,1,1,1,19
102,10,20,"Male",0,2,0,2,0,1,3
88,4,20,"Male",0,2,0,1,0,1,4
104,7,20,"Male",0,2,0,1,0,1,28
86,3,20,"Female",0,2,0,1,0,1,17
99,2,20,"Female",0,2,0,1,0,1,16
94,4,20,"Female",0,2,0,1,0,1,21
100,3,20,"Male",0,2,0,1,0,1,18
112,10,20,"Female",0,2,0,1,0,1,22
92,8,38,"Male",0,2,1,1,1,1,22
105,3,38,"Male",0,2,0,1,0,1,24
121,9,38,"Female",0,2,0,1,0,1,25
105,5,38,"Female",1,2,1,4,1,1,6
98,5,38,"Female",31,2,0,1,0,1,7
106,9,38,"Male",20,2,0,1,0,1,16
110,10,38,"Male",0,2,0,1,0,1,14
111,9,38,"Male",31,2,1,1,1,1,13
128,10,38,"Female",31,2,0,4,1,1,11
102,7,38,"Female",0,2,0,1,0,1,15
74,2,38,"Female",31,2,1,1,1,1,12
105,9,38,"Female",0,2,1,1,1,1,10
105,9,38,"Male",20,2,1,1,0,1,8
110,10,38,"Male",31,2,0,1,0,1,9
101,7,38,"Female",20,2,0,1,1,1,19
85,5,38,"Male",0,2,0,1,0,1,17
70,1,38,"Female",0,2,0,1,0,1,20
95,2,38,"Female",0,2,0,4,0,1,18
99,8,38,"Male",20,2,0,1,0,1,23
119,10,38,"Female",20,2,0,1,0,1,1
92,2,38,"Male",0,2,0,1,0,1,2
100,9,38,"Female",20,2,0,1,0,1,21
118,10,38,"Male",0,2,0,1,0,1,5
113,10,38,"Female",0,2,0,1,0,1,3
113,7,38,"Female",0,2,1,1,0,1,4
70,2,39,"Male",0,2,0,1,0,1,4
99,5,39,"Female",0,2,0,2,0,1,6
90,10,39,"Male",0,2,0,1,0,1,3
110,6,39,"Male",0,2,0,1,0,1,8
108,5,39,"Male",0,2,0,1,0,1,5
98,6,39,"Female",0,2,0,1,1,1,10
111,7,39,"Male",20,2,1,1,0,1,2
124,10,39,"Female",0,2,1,1,1,1,9
107,10,39,"Female",20,2,1,1,1,1,1
122,10,39,"Male",0,2,0,1,1,1,7
101,5,42,"Female",0,2,0,1,1,1,3
99,4,42,"Male",31,2,0,1,0,1,5
106,3,42,"Male",0,2,0,1,0,1,2
107,4,42,"Female",0,2,1,1,1,1,4
94,7,44,"Male",20,2,0,1,1,1,1
108,9,44,"Female",20,2,0,1,0,1,3
89,4,44,"Male",0,2,0,1,0,1,2
126,10,44,"Female",20,2,0,1,0,1,4
93,3,45,"Male",31,2,0,1,0,1,5
116,10,45,"Male",0,2,0,1,1,1,1
100,1,45,"Female",0,2,0,1,1,1,4
110,9,45,"Male",0,2,0,1,0,1,2
113,6,45,"Male",0,2,0,1,0,1,3
109,10,45,"Female",0,2,0,1,0,1,16
99,5,45,"Female",20,2,1,1,1,1,18
90,1,45,"Male",0,2,0,1,0,1,7
90,5,45,"Male",31,2,0,1,1,1,13
109,10,45,"Female",0,2,1,1,1,1,17
83,2,45,"Male",0,2,0,1,0,1,12
103,6,45,"Male",0,2,0,1,0,1,15
107,8,45,"Male",0,2,0,1,1,1,19
117,9,45,"Female",0,2,0,1,0,1,9
104,4,45,"Male",0,2,0,1,0,1,20
106,5,45,"Female",20,2,0,1,0,1,8
107,6,45,"Female",0,2,0,1,0,1,6
105,7,45,"Male",0,2,0,4,1,1,10
103,3,45,"Male",0,2,0,1,1,1,11
98,3,45,"Male",0,2,0,1,0,1,14
85,3,47,"Male",0,2,1,1,1,1,3
96,5,47,"Female",0,2,0,1,0,1,2
96,6,47,"Female",20,2,0,1,0,1,1
101,10,47,"Female",1,2,1,1,1,1,39
89,3,47,"Male",0,2,0,1,0,1,5
100,10,47,"Female",0,2,0,1,0,1,24
98,7,47,"Female",1,2,1,1,1,1,52
107,9,47,"Female",20,2,1,1,0,1,6
103,9,47,"Female",0,2,1,1,1,1,37
96,4,47,"Male",20,2,0,1,0,1,27
103,4,47,"Male",0,2,0,1,0,1,23
89,3,47,"Male",0,2,0,1,0,1,42
113,10,47,"Female",1,2,1,1,1,1,41
112,6,47,"Female",0,2,0,1,0,1,40
92,6,47,"Female",31,2,0,1,0,1,49
126,7,47,"Female",0,2,0,1,0,1,36
103,10,47,"Male",0,2,0,1,0,1,4
122,10,47,"Female",1,2,0,1,0,1,47
104,6,47,"Male",0,2,0,1,0,1,26
77,2,47,"Male",0,2,0,1,0,1,25
102,10,47,"Male",1,2,1,1,0,1,50
102,10,47,"Female",1,2,0,1,0,1,44
88,7,47,"Female",0,2,0,1,0,1,7
110,10,47,"Female",20,2,0,1,0,1,19
107,7,47,"Female",20,2,0,2,0,1,21
136,10,47,"Male",31,2,0,1,0,1,9
99,10,47,"Male",0,2,0,1,0,1,18
77,2,47,"Male",0,2,0,4,0,1,20
86,4,47,"Female",0,2,0,1,0,1,14
83,3,47,"Female",20,2,0,1,0,1,12
103,9,47,"Female",0,2,0,1,1,1,11
109,7,47,"Female",0,2,0,1,0,1,10
82,2,47,"Male",20,2,1,1,1,1,13
102,10,47,"Male",20,2,1,1,1,1,8
112,7,47,"Male",20,2,0,1,0,1,22
109,10,47,"Female",1,2,0,1,1,1,48
88,5,47,"Female",20,2,0,1,1,1,35
100,6,47,"Female",1,2,1,1,1,1,28
96,5,47,"Male",0,2,1,1,1,1,32
100,9,47,"Female",0,2,1,1,1,1,34
93,5,47,"Female",0,2,0,1,0,1,15
116,10,47,"Female",0,2,1,1,0,1,16
115,10,47,"Male",0,2,0,1,1,1,17
98,9,47,"Female",0,2,0,1,1,1,29
99,10,47,"Male",31,2,0,1,0,1,30
95,3,47,"Male",1,2,0,1,0,1,31
103,10,49,"Female",31,2,0,2,0,1,1
91,2,50,"Male",0,2,0,1,0,1,15
79,1,71,"Female",0,2,1,1,0,1,4
107,6,6,"Male",31,3,0,1,0,1,19
82,1,9,"Male",0,3,0,1,0,1,9
95,2,12,"Female",0,3,0,1,0,1,5
92,2,16,"Male",0,3,0,1,0,1,2
110,3,16,"Female",0,3,1,2,0,1,3
104,5,18,"Female",0,3,1,1,0,1,17
96,9,18,"Male",0,3,1,1,0,1,25
94,10,18,"Female",20,3,1,2,1,1,24
100,2,18,"Male",0,3,0,1,1,1,29
88,3,18,"Male",0,3,0,1,1,1,14
103,10,18,"Female",0,3,0,1,0,1,33
93,4,18,"Male",0,3,1,1,1,1,31
91,5,18,"Female",0,3,1,1,1,1,16
78,2,18,"Male",0,3,1,1,0,1,2
109,10,18,"Female",0,3,0,1,1,1,28
94,5,18,"Male",0,3,1,1,1,1,26
108,10,18,"Male",20,3,1,1,1,1,15
83,2,18,"Female",0,3,1,1,0,1,27
79,2,18,"Male",20,3,0,2,0,1,1
98,7,18,"Male",0,3,0,1,0,1,11
83,2,18,"Female",0,3,0,2,0,1,5
72,1,18,"Female",0,3,1,1,1,1,8
71,3,18,"Female",0,3,1,1,1,1,22
85,2,18,"Female",0,3,0,1,0,1,9
99,2,18,"Male",0,3,0,1,0,1,10
89,5,18,"Female",20,3,0,1,0,1,32
94,7,18,"Male",0,3,0,1,0,1,20
90,2,18,"Male",31,3,1,1,1,1,13
90,5,18,"Female",0,3,0,1,1,1,6
100,7,18,"Female",0,3,0,1,0,1,7
90,4,18,"Male",20,3,0,1,0,1,19
101,6,18,"Female",0,3,0,1,0,1,4
89,7,19,"Male",0,3,0,1,0,1,9
88,2,19,"Male",0,3,1,1,1,1,4
115,5,19,"Female",20,3,0,1,0,1,7
106,9,19,"Male",31,3,0,1,0,1,8
98,6,19,"Female",20,3,0,2,1,1,28
72,2,19,"Male",20,3,0,1,0,1,18
106,10,19,"Female",0,3,0,1,0,1,17
104,1,19,"Female",0,3,0,1,0,1,25
89,4,19,"Female",0,3,0,1,0,1,26
100,9,19,"Male",20,3,0,1,1,1,22
102,6,19,"Female",31,3,1,1,0,1,2
110,10,19,"Female",20,3,0,1,0,1,24
102,5,19,"Female",0,3,0,1,0,1,1
110,8,19,"Female",20,3,1,1,0,1,32
95,7,19,"Female",31,3,1,1,0,1,15
110,4,19,"Female",0,3,0,1,0,1,31
93,7,19,"Male",0,3,0,1,1,1,29
96,5,19,"Female",20,3,0,1,0,1,27
94,5,19,"Female",20,3,0,1,0,1,16
113,10,19,"Female",20,3,0,1,1,1,21
100,2,19,"Male",0,3,0,1,1,1,19
116,10,19,"Male",0,3,0,1,0,1,30
88,3,19,"Female",20,3,0,1,0,1,20
102,6,19,"Male",20,3,0,1,0,1,23
106,10,19,"Male",20,3,0,1,0,1,6
102,9,19,"Female",31,3,0,1,0,1,13
115,10,19,"Female",1,3,0,2,0,1,10
123,10,19,"Female",0,3,0,4,1,1,11
105,10,19,"Female",0,3,0,1,1,1,14
96,6,19,"Male",31,3,0,1,0,1,3
111,10,19,"Male",31,3,1,1,1,1,12
102,3,20,"Male",31,3,0,1,0,1,27
88,2,23,"Male",20,3,0,1,0,1,2
74,2,23,"Male",0,3,0,1,0,1,10
85,2,23,"Female",0,3,0,1,1,1,6
86,3,23,"Female",0,3,0,1,0,1,12
96,4,23,"Male",0,3,0,1,0,1,8
70,1,23,"Male",0,3,1,1,1,1,13
96,3,23,"Female",31,3,1,1,0,1,11
100,3,23,"Female",0,3,0,1,0,1,3
88,3,23,"Male",0,3,0,1,0,1,17
90,3,23,"Male",0,3,1,1,1,1,18
96,4,23,"Female",0,3,0,1,1,1,9
94,7,23,"Female",0,3,0,1,1,1,5
84,5,23,"Male",0,3,0,1,0,1,4
102,7,23,"Female",0,3,1,1,1,1,14
92,5,23,"Male",31,3,0,1,1,1,15
80,1,23,"Male",0,3,0,1,0,1,16
95,2,23,"Female",0,3,0,1,0,1,7
76,2,23,"Female",0,3,0,1,0,1,1
70,2,34,"Male",0,3,0,1,0,1,2
117,6,35,"Male",31,3,0,1,0,1,10
107,10,35,"Female",0,3,1,1,1,1,8
99,5,35,"Male",0,3,1,1,0,1,1
98,4,35,"Female",0,3,0,1,0,1,2
88,8,35,"Female",20,3,0,1,0,1,4
95,7,35,"Female",0,3,0,1,0,1,21
103,10,35,"Male",0,3,0,1,0,1,5
96,4,35,"Male",0,3,0,1,0,1,6
105,9,35,"Female",0,3,0,1,1,1,7
103,10,35,"Female",0,3,1,1,1,1,22
106,4,35,"Male",20,3,0,1,1,1,12
99,6,35,"Male",0,3,1,1,1,1,11
88,6,35,"Female",20,3,0,1,0,1,14
110,10,35,"Male",20,3,1,1,0,1,13
95,7,35,"Male",0,3,0,1,0,1,3
105,10,35,"Male",0,3,0,1,0,1,16
74,3,35,"Female",1,3,0,1,0,1,20
90,2,35,"Female",0,3,0,1,0,1,18
103,9,35,"Female",20,3,1,2,1,1,17
103,4,35,"Male",0,3,1,1,1,1,15
86,2,47,"Male",0,3,1,2,1,1,38
106,3,48,"Female",20,3,0,1,0,1,15
124,10,48,"Female",1,3,1,1,1,1,13
114,10,48,"Female",20,3,1,1,1,1,5
102,10,48,"Female",0,3,0,1,0,1,4
94,5,48,"Male",31,3,0,1,1,1,25
94,10,48,"Male",0,3,0,1,0,1,14
96,5,48,"Male",31,3,0,1,0,1,9
86,1,48,"Female",0,3,0,1,0,1,6
86,3,48,"Male",0,3,0,1,1,1,12
89,2,48,"Male",20,3,0,1,1,1,7
100,3,48,"Female",1,3,1,1,0,1,8
105,10,48,"Male",0,3,0,1,1,1,11
104,7,48,"Male",31,3,0,1,0,1,24
91,6,48,"Female",20,3,1,1,1,1,23
104,8,48,"Male",0,3,1,1,1,1,17
101,9,48,"Male",0,3,1,1,1,1,20
109,10,48,"Female",0,3,0,1,0,1,16
80,2,48,"Male",20,3,1,1,1,1,21
91,2,48,"Male",31,3,0,1,0,1,22
75,2,48,"Female",0,3,0,1,0,1,3
106,8,48,"Female",0,3,0,1,1,1,1
99,10,48,"Male",20,3,0,1,0,1,18
124,10,48,"Male",20,3,1,1,0,1,19
109,10,48,"Male",20,3,1,1,1,1,2
112,10,49,"Female",20,3,0,1,0,1,21
93,2,49,"Male",0,3,1,2,0,1,23
95,5,50,"Female",0,3,1,1,0,1,6
102,4,50,"Male",0,3,0,1,1,1,8
92,4,50,"Female",20,3,0,1,0,1,25
79,2,50,"Female",0,3,0,1,0,1,7
105,8,50,"Female",0,3,0,1,0,1,4
102,10,50,"Female",0,3,0,1,0,1,22
105,3,50,"Female",20,3,0,1,0,1,9
84,3,50,"Female",20,3,1,1,1,1,10
104,3,50,"Male",20,3,1,1,1,1,5
110,10,50,"Male",0,3,0,1,0,1,13
96,3,50,"Male",31,3,0,1,0,1,11
88,3,50,"Female",0,3,1,1,1,1,12
70,2,50,"Female",0,3,0,1,1,1,32
98,7,50,"Female",0,3,0,1,0,1,2
107,6,50,"Male",0,3,1,1,1,1,3
101,5,50,"Male",0,3,0,1,0,1,19
101,5,50,"Male",31,3,0,1,0,1,36
96,4,50,"Male",0,3,0,1,0,1,31
92,2,50,"Female",0,3,0,1,0,1,35
110,10,50,"Male",20,3,0,1,0,1,26
88,8,50,"Female",20,3,0,4,0,1,14
90,2,50,"Female",0,3,0,1,0,1,27
76,7,50,"Female",0,3,0,1,0,1,18
92,1,50,"Male",20,3,1,1,1,1,20
89,5,50,"Male",20,3,0,1,0,1,17
95,7,50,"Male",0,3,0,1,0,1,16
79,2,7,"Female",0,4,0,4,0,1,2
109,10,13,"Female",20,4,0,1,0,1,18
89,2,13,"Female",20,4,0,1,0,1,17
104,9,13,"Male",20,4,0,1,0,1,19
108,2,13,"Female",0,4,0,1,1,1,16
119,10,13,"Female",31,4,1,1,0,1,24
